"id","name","parent_id","parent_name"
3013,Тележки для ранцев,3,Аксессуары
3014,Батончики злаковые,3109,Продукты
3015,Ударные установки,6260,Телевизоры и аудиотехника
3016,Подставки для благовоний,195,Дом
3017,Пломбы,571,Канцелярские товары
3018,Подставки для рук маникюрные,49,Красота
3019,Наборы в роддом,49,Красота
3021,Антисептики кожные,4268,Здоровье
3022,Вакцины,723,Товары для животных
3027,Капли ушные,4268,Здоровье
3028,Капли глазные,4268,Здоровье
3029,Растворы лекарственные,4268,Здоровье
3030,Дерматологические препараты,6371,Фарма
3032,Неврологические препараты,6371,Фарма
3038,Противовирусные препараты,6371,Фарма
3039,Противогрибковые препараты,6371,Фарма
3041,Противопростудные препараты,4268,Здоровье
3042,Сердечно-сосудистые препараты,6371,Фарма
3043,Средства профилактики,4268,Здоровье
3044,Урологические препараты,6371,Фарма
3045,Эндокринологические препараты,6371,Фарма
3046,Бинты медицинские,4268,Здоровье
3048,Кронштейны для СВЧ-печей,1521,Техника для кухни
3049,Радиостанции,479,Электроника
3050,Стоматологические наборы,4268,Здоровье
3051,Конверты для пеленания,883,Товары для малышей
3052,Мука,3109,Продукты
3053,Коконы для новорожденных,883,Товары для малышей
3054,Припои,1162,Строительные инструменты
3056,Противоугонные системы,760,Автомобильные товары
3057,Пирамидки,7,Игрушки
3058,Лабиринты,7,Игрушки
3059,Шнуровки,7,Игрушки
3060,Рамки-вкладыши,7,Игрушки
3061,Стабилизаторы,6258,Смартфоны и аксессуары
3062,Датчики протечки воды,6259,Умный дом и безопасность
3063,Теплые полы,2051,Сантехника
3064,Кабели греющие,2050,Строительные материалы
3065,Терморегуляторы,2051,Сантехника
3066,Скребки для языка,49,Красота
3067,Таблетки для индикации зубного налета,49,Красота
3068,Дождевики для обуви,739,Аксессуары для обуви
3069,Коврики для тренажеров,239,Спортивный товар
3070,Пасты ореховые,3109,Продукты
3071,Пасты шоколадные,3109,Продукты
3072,Фотофоны,195,Дом
3073,Коврики настольные,195,Дом
3074,Предохранители автомобильные,760,Автомобильные товары
3075,Ключи свечные,760,Автомобильные товары
3076,Ареометры,760,Автомобильные товары
3077,Съемники автомобильные,760,Автомобильные товары
3078,Корсеты ортопедические,4268,Здоровье
3079,Сливки сухие,3109,Продукты
3080,Горелки газовые,1162,Строительные инструменты
3081,Системы умный дом,6259,Умный дом и безопасность
3082,Орехи,3109,Продукты
3083,Сухофрукты,3109,Продукты
3084,Машинки для полировки волос,657,Бытовая техника
3085,Простыни натяжные,195,Дом
3086,Костюмы сноубордические,1513,Спортивная одежда
3087,Штанги телескопические,1077,Хозяйственные товары
3088,Гладильные системы,657,Бытовая техника
3089,Трекеры времени,479,Электроника
3090,Каретки велосипедные,239,Спортивный товар
3091,Обои,8555,Отделочные материалы
3092,Воронки автомобильные,760,Автомобильные товары
3093,Медали подарочные,257,Для праздника
3094,Кубки подарочные,257,Для праздника
3095,Подставки для мобильных устройств,6258,Смартфоны и аксессуары
3096,Подставки для бытовой техники,479,Электроника
3097,Ручки оконные,8555,Отделочные материалы
3098,Замки оконные,8555,Отделочные материалы
